FeedbackID,Username,SessionTitle,Rating,Review,FeedbackDate
5,Admin.flexso@flexso.com,Tech Summit 2024 - Session 1,4,"Informative but could use more detailed case studies.","2024-03-17"
6,Admin.flexso@flexso.com,Data Science Conference - Session 2,5,"Excellent insights into modern data science applications.","2024-11-11"
7,Admin.flexso@flexso.com,Startup Weekend - Session 1,3,"Needed more networking opportunities.","2024-10-07"
8,Admin.flexso@flexso.com,Digital Marketing Summit - Session 1,5,"Fantastic overview of emerging digital marketing trends.","2024-12-09"
9,Admin.flexso@flexso.com,AI & Robotics Expo - Session 1,4,"Great demonstrations but overcrowded sessions.","2024-11-21"
10,Admin.flexso@flexso.com,Blockchain Summit - Session 1,5,"Very engaging, learned a lot about blockchain security.","2024-10-26"
11,Admin.flexso@flexso.com,Cybersecurity Conference - Session 1,5,"","2024-03-30"
12,Admin.flexso@flexso.com,Healthcare Innovation Forum - Session 1,2,"Too technical, not enough practical examples.","2024-03-17"
13,Admin.flexso@flexso.com,Fintech Expo - Session 1,3,"Good content but the session was too short.","2024-11-07"
14,Admin.flexso@flexso.com,Cybersecurity Conference - Session 4,5,"Outstanding speaker, very informative.","2024-09-30"
